mes,anio,idea
1,2022,19.74759063
2,2022,19.74437853
3,2022,19.85067509
4,2022,19.40265307
5,2022,19.2334243
6,2022,19.09285964
7,2022,19.75532894
8,2022,19.48612714
9,2022,19.46874275
10,2022,19.40097808
11,2022,18.94814965
12,2022,19.13436025
1,2023,18.59878849
2,2023,18.25216145
3,2023,18.0615757
4,2023,17.69126957
5,2023,17.29581565
6,2023,16.80167812
7,2023,16.51774114
8,2023,16.56978643
9,2023,16.88471519
10,2023,17.68705113
11,2023,17.14103404
12,2023,17.0279331
1,2024,16.98824147
2,2024,16.95557973
3,2024,16.67406549
4,2024,16.62310275
5,2024,16.59787456
6,2024,18.00891136
7,2024,18.11273999
8,2024,19.08765642
9,2024,19.5806013
10,2024,19.69998013
11,2024,20.37483262
12,2024,20.28965153
1,2025,20.56759177
2,2025,20.4623
